 frame 	 train 	 tail 	 loops 	 rate 
  538  	  107  	  7   	  69   	0.41530054644808745
  539  	  118  	  1   	  64   	0.3551912568306011
  540  	  117  	  13  	  53   	0.36065573770491804
  541  	  122  	  3   	  58   	0.3333333333333333
  542  	  105  	  3   	  75   	0.4262295081967213
  543  	  107  	  14  	  62   	0.41530054644808745
  544  	  117  	  5   	  61   	0.36065573770491804
  545  	  118  	  1   	  64   	0.3551912568306011
  546  	  123  	  0   	  60   	0.32786885245901637
  547  	  129  	  5   	  49   	0.29508196721311475
  548  	  100  	  15  	  68   	0.453551912568306
  549  	  120  	  1   	  62   	0.3442622950819672
  550  	  112  	  8   	  63   	0.3879781420765027
  551  	  103  	  14  	  66   	0.4371584699453552
  552  	  114  	  2   	  67   	0.3770491803278688
  553  	  105  	  11  	  67   	0.4262295081967213
  554  	  114  	  2   	  67   	0.3770491803278688
  555  	  102  	  1   	  80   	0.4426229508196721
  556  	  119  	  4   	  60   	0.34972677595628415
  557  	  121  	  2   	  60   	0.33879781420765026
